维度,分组,均值,中位数,最小值,最大值,样本量
学历,3-4年经验,1.15,1.15,1.15,1.15,1
学历,中技/中专,0.52,0.52,0.52,0.52,1
学历,大专,1.34,1.25,0.4,2.75,89
学历,无需经验,0.64,0.64,0.38,0.9,2
学历,本科,1.57,1.5,0.55,3.75,201
工作经验要求,1年经验,1.15,1.15,0.55,2.65,67
工作经验要求,2年经验,1.37,1.25,0.65,3.0,76
工作经验要求,3-4年经验,1.7,1.72,0.9,3.75,104
工作经验要求,5-7年经验,2.18,2.02,1.25,3.33,26
工作经验要求,8-9年经验,1.95,1.95,1.5,2.4,2
工作经验要求,无需经验,1.01,0.82,0.4,2.25,16
公司性质,上市公司,1.69,1.67,0.6,3.33,26
公司性质,事业单位,0.92,0.92,0.9,0.95,2
公司性质,创业公司,1.29,1.15,0.7,2.25,7
公司性质,合资,1.6,1.5,0.85,2.75,19
公司性质,国企,1.34,1.1,0.9,2.25,11
公司性质,外资（欧美）,1.99,2.25,0.95,3.0,12
公司性质,外资（非欧美）,1.55,1.2,0.75,3.25,12
公司性质,民营公司,1.44,1.4,0.38,3.75,205
公司规模,1000-5000人,1.68,1.65,0.85,3.0,37
公司规模,10000人以上,1.9,1.75,0.75,3.25,13
公司规模,150-500人,1.49,1.5,0.6,2.75,68
公司规模,50-150人,1.24,1.23,0.38,2.05,74
公司规模,500-1000人,1.67,1.6,0.4,3.33,39
公司规模,5000-10000人,1.29,1.25,0.95,1.55,8
公司规模,专业服务(咨询、人力资源、财会),1.75,1.75,1.75,1.75,4
公司规模,农/林/牧/渔,1.5,1.5,1.5,1.5,1
公司规模,少于50人,1.46,1.38,0.6,2.75,36
公司规模,影视/媒体/艺术/文化传播,1.68,1.68,0.6,2.75,2
公司规模,电子技术/半导体/集成电路,1.05,1.0,0.9,1.25,3
公司规模,电子技术/半导体/集成电路 通信/电信/网络设备,1.0,1.0,1.0,1.0,1
公司规模,计算机软件,1.64,1.5,0.65,3.75,7
公司规模,金融/投资/证券,1.4,1.4,1.4,1.4,1
主行业,专业服务(咨询、人力资源、财会),1.66,1.4,1.0,3.0,8
主行业,互联网/电子商务,1.37,1.25,0.38,2.75,34
主行业,交通/运输/物流,1.68,1.68,1.5,1.85,2
主行业,仪器仪表/工业自动化,1.72,1.78,1.45,1.9,4
主行业,制药/生物工程,1.29,1.38,0.9,1.5,4
主行业,医疗设备/器械,1.68,1.65,1.0,2.4,3
主行业,原材料和加工,1.85,1.85,1.85,1.85,1
主行业,学术/科研,1.4,1.15,0.9,2.25,6
主行业,建筑/建材/工程,1.75,1.75,1.75,1.75,1
主行业,快速消费品(食品、饮料、化妆品),1.42,1.35,0.7,1.95,5
主行业,教育/培训/院校,1.27,1.27,1.05,1.5,2
主行业,新能源,0.75,0.75,0.6,0.9,2
主行业,服装/纺织/皮革,0.7,0.7,0.7,0.7,1
主行业,未知,1.52,1.5,0.6,3.75,19
主行业,机械/设备/重工,1.66,1.52,1.2,2.25,6
主行业,汽车,1.24,1.38,0.6,1.6,4
主行业,汽车零配件,3.0,3.0,3.0,3.0,1
主行业,物业管理/商业中心,1.15,1.15,1.15,1.15,1
主行业,环保,1.15,1.15,1.15,1.15,1
主行业,生活服务,1.15,1.15,1.15,1.15,1
主行业,电子技术/半导体/集成电路,1.59,1.5,0.75,3.33,19
主行业,网络游戏,1.7,1.7,1.65,1.75,2
主行业,计算机服务(系统、数据服务、维修),1.22,1.25,0.6,2.25,21
主行业,计算机硬件,1.27,1.27,0.95,1.6,2
主行业,计算机软件,1.51,1.5,0.4,3.0,115
主行业,贸易/进出口,1.19,1.1,0.8,1.75,4
主行业,通信/电信/网络设备,1.51,1.7,0.7,2.25,14
主行业,通信/电信运营、增值服务,1.75,1.7,0.9,2.65,3
主行业,金融/投资/证券,2.3,2.25,1.6,3.25,5
主行业,银行,2.25,2.25,2.25,2.25,1
主行业,餐饮业,0.85,0.85,0.7,1.0,2
