year,parameter,mean,median,std,min,max,count
2020,battery_capacity_kwh,76.39,77.9,20.21,40.5,117.0,37
2021,battery_capacity_kwh,80.1,79.1,20.75,40.8,118.8,77
2022,battery_capacity_kwh,72.81,72.7,18.72,40.0,117.4,125
2023,battery_capacity_kwh,74.59,72.45,20.61,40.4,118.7,180
2024,battery_capacity_kwh,74.68,76.5,18.9,40.5,119.9,240
2025,battery_capacity_kwh,72.74,73.9,19.81,40.2,119.7,257
2026,battery_capacity_kwh,76.84,75.6,21.89,40.6,119.3,154
2020,range_miles,264.78,261.0,72.83,150.0,444.0,37
2021,range_miles,278.17,273.0,72.41,150.0,426.0,77
2022,range_miles,255.3,254.0,67.49,150.0,400.0,125
2023,range_miles,261.86,257.0,72.99,150.0,426.0,180
2024,range_miles,263.02,263.0,67.04,150.0,431.0,240
2025,range_miles,255.23,258.0,70.95,150.0,447.0,257
2026,range_miles,270.31,264.0,77.07,150.0,439.0,154
2020,charging_speed_kw,124.43,104.1,69.08,50.1,340.0,37
2021,charging_speed_kw,155.09,135.7,75.73,50.3,347.5,77
2022,charging_speed_kw,140.32,121.5,74.59,50.1,349.5,125
2023,charging_speed_kw,142.45,117.7,76.61,50.9,340.1,180
2024,charging_speed_kw,140.99,123.15,72.14,50.6,348.4,240
2025,charging_speed_kw,134.49,123.1,65.46,50.4,344.9,257
2026,charging_speed_kw,146.83,132.0,71.07,50.1,338.3,154
2020,horsepower,563.35,545.0,241.51,150.0,1000.0,37
2021,horsepower,662.43,685.0,271.43,150.0,1000.0,77
2022,horsepower,604.09,584.0,266.56,150.0,1000.0,125
2023,horsepower,646.16,661.5,270.01,150.0,1000.0,180
2024,horsepower,664.64,664.0,278.38,150.0,1000.0,240
2025,horsepower,694.16,706.0,259.13,173.0,1000.0,257
2026,horsepower,718.8,752.0,259.65,156.0,1000.0,154
2020,acceleration_0_60_mph,5.62,5.88,1.43,2.61,7.86,37
2021,acceleration_0_60_mph,5.58,5.63,1.53,2.76,7.84,77
2022,acceleration_0_60_mph,5.7,5.73,1.33,2.73,7.98,125
2023,acceleration_0_60_mph,5.57,5.66,1.39,2.51,7.96,180
2024,acceleration_0_60_mph,5.61,5.6,1.47,2.51,7.97,240
2025,acceleration_0_60_mph,5.6,5.66,1.43,2.55,7.99,257
2026,acceleration_0_60_mph,5.54,5.72,1.48,2.59,8.0,154
