parameter,best_seller_avg,market_avg,diff,diff_pct
price_usd,74754.42,78027.07,-3272.6500000000087,-4.19
battery_capacity_kwh,75.22,74.74,0.480000000000004,0.64
range_miles,263.42,262.25,1.170000000000016,0.45
charging_speed_kw,178.02,140.88,37.140000000000015,26.36
horsepower,642.93,665.68,-22.75,-3.42
acceleration_0_60_mph,5.66,5.6,0.0600000000000005,1.07
customer_rating,3.61,3.55,0.06000000000000005,1.69
safety_rating,4.38,4.39,-0.009999999999999787,-0.23
warranty_years,4.18,4.48,-0.3000000000000007,-6.7
weight_kg,1843.89,1867.63,-23.74000000000001,-1.27
