parameter,best_seller_avg,worst_seller_avg,gap,gap_pct
price_usd,74754.42,69517.94,5236.479999999996,7.53
battery_capacity_kwh,75.22,72.92,2.299999999999997,3.15
range_miles,263.42,258.35,5.069999999999993,1.96
charging_speed_kw,178.02,122.37,55.650000000000006,45.48
horsepower,642.93,633.35,9.579999999999927,1.51
acceleration_0_60_mph,5.66,5.64,0.020000000000000462,0.35
customer_rating,3.61,3.5,0.10999999999999988,3.14
safety_rating,4.38,4.54,-0.16000000000000014,-3.52
warranty_years,4.18,3.98,0.19999999999999973,5.03
weight_kg,1843.89,1844.0,-0.10999999999989996,-0.01
