brand,model,year,variant,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,drive_type,seating_capacity,body_type,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,country_of_origin,market_segment,annual_sales_units,customer_rating,warranty_years,price_per_kwh,efficiency,power_to_weight,cluster
Volkswagen,ID. Buzz,2023,Performance,104880.8,118.7,400.0,234.5,3.04,195.0,1000.0,895.0,AWD,7,Truck,54.2,2015.0,4,2,Germany,Luxury,202182.0,4.0,4.0,883.5787700084246,3.369839932603201,496.2779156327544,0
Toyota,bZ Compact SUV,2022,Premium,48217.41,58.8,219.0,148.1,5.77,159.0,381.0,360.0,FWD,5,SUV,69.0,1709.0,4,0,Japan,Mid-range,7146.0,3.56,3.0,820.0239795918368,3.724489795918368,222.93739028671737,1
GM/Chevrolet,Bolt EV,2024,Premium,49651.12,58.2,225.0,104.9,6.84,148.0,588.0,516.0,AWD,5,Van,77.0,1533.0,4,1,US,Mid-range,16590.0,3.7,3.0,853.112027491409,3.865979381443299,383.5616438356164,1
Kia,Sportage EV,2024,Long Range,38131.56,102.5,349.0,66.5,4.66,176.0,310.0,327.0,AWD,7,SUV,65.8,1935.0,4,2,South Korea,Mid-range,127201.0,3.81,3.0,372.0152195121951,3.404878048780488,160.2067183462532,0
Tesla,Model 3,2022,Long Range,144079.87,93.9,314.0,298.5,5.64,165.0,1000.0,883.0,RWD,5,SUV,38.3,2229.0,4,2,US,Luxury,196401.0,3.83,4.0,1534.3969116080937,3.343982960596379,448.6316733961418,0
Tesla,Model Y,2023,Performance,119590.27,78.3,251.0,334.6,2.84,200.0,947.0,858.0,AWD,5,Hatchback,35.5,1751.0,5,3,US,Luxury,385830.5,3.67,5.0,1527.3342273307792,3.2056194125159645,540.8338092518561,0
Tesla,Model 3,2024,Premium,128427.66,68.6,222.0,201.9,6.68,149.0,992.0,899.0,RWD,5,Coupe,39.3,1500.0,5,2,US,Luxury,213937.0,3.54,6.0,1872.1233236151609,3.2361516034985427,661.3333333333334,0
Mercedes,EQS,2025,Performance,131074.23,82.7,292.0,202.5,2.99,200.0,764.0,737.0,RWD,7,SUV,61.2,2219.0,4,2,Germany,Luxury,48277.0,4.11,6.5,1584.9362756952842,3.5308343409915355,344.29923388913926,0
Kia,Niro EV,2021,Premium,80530.57,54.6,184.0,67.5,7.57,137.0,976.0,864.0,AWD,7,Hatchback,36.7,1511.0,3,1,South Korea,Premium,90830.0,3.11,4.0,1474.9188644688645,3.36996336996337,645.9298477829252,1
GM/Chevrolet,Blazer EV,2025,Base,56944.53,69.9,251.0,117.1,6.68,149.0,703.0,604.0,FWD,7,Van,67.6,1520.0,5,2,US,Mid-range,8761.0,3.46,5.0,814.6570815450643,3.590844062947067,462.5,1
Tesla,Model S,2026,Long Range,134165.81,103.2,347.0,324.4,4.56,187.0,993.0,949.0,AWD,5,Sedan,26.7,1720.0,4,2,US,Luxury,211478.0,3.78,4.0,1300.0562984496123,3.3624031007751936,577.3255813953489,0
Fisker,Ronin,2025,Standard,88914.19,66.7,232.0,129.5,5.1,173.0,727.0,689.0,AWD,7,Truck,64.7,2536.0,3,2,US,Premium,2408.0,3.67,5.0,1333.0463268365818,3.4782608695652173,286.67192429022083,1
Mercedes,EQG,2025,Performance,167624.71375,93.2,320.0,166.5,2.84,200.0,1000.0,919.0,RWD,7,Hatchback,17.6,1562.0,5,2,Germany,Luxury,56039.0,3.59,6.5,1798.5484307939912,3.433476394849785,640.2048655569782,0
BYD,Seagull,2023,Base,16394.33,41.8,158.0,73.9,6.41,155.0,150.0,200.0,FWD,5,Coupe,26.9,1744.0,5,0,China,Budget,224997.0,3.58,5.0,392.2088516746412,3.779904306220096,86.0091743119266,1
Tesla,Model S,2024,Premium,134964.13,67.4,250.0,343.3,7.46,135.0,992.0,875.0,RWD,5,Van,76.0,1500.0,5,2,US,Luxury,235048.0,3.81,5.0,2002.435163204748,3.7091988130563793,661.3333333333334,0
BYD,Atto 3,2024,Standard,64427.02,70.5,265.0,51.0,6.91,138.0,711.0,662.0,RWD,7,Truck,72.2,2756.0,5,1,China,Mid-range,204232.0,3.52,4.0,913.858439716312,3.7588652482269502,257.98258345428155,1
Hyundai,Kona Electric,2024,Premium,63139.95,81.0,275.0,96.7,7.45,141.0,743.0,649.0,RWD,5,Coupe,21.9,1750.0,4,1,South Korea,Mid-range,132242.0,3.43,5.0,779.5055555555555,3.3950617283950617,424.57142857142856,1
Volkswagen,ID.4,2024,Long Range,77030.0,88.0,332.0,118.8,4.75,183.0,826.0,707.0,AWD,7,Sedan,38.7,1634.0,4,0,Germany,Premium,238587.0,3.37,4.0,875.3409090909091,3.772727272727273,505.5079559363526,0
BYD,Atto 3,2024,Premium,72336.67,77.9,295.0,60.5,5.5,178.0,800.0,732.0,AWD,5,Van,60.6,1500.0,3,1,China,Premium,168778.0,3.53,3.0,928.5836970474968,3.7869062901155326,533.3333333333334,0
Kia,Picanto EV,2025,Premium,106848.2,54.1,193.0,132.7,7.95,135.0,1000.0,855.0,AWD,5,Coupe,26.9,1500.0,4,1,South Korea,Luxury,85618.0,3.33,5.0,1975.0129390018485,3.567467652495379,666.6666666666666,1
Tesla,Cybertruck,2023,Base,70531.96,70.5,256.0,281.7,5.5,165.0,507.0,445.0,AWD,7,Truck,72.0,2290.0,5,2,US,Premium,209622.0,3.6,4.0,1000.4533333333334,3.631205673758865,221.39737991266372,1
BYD,Yuan Plus,2024,Performance,114839.62,76.6,293.0,185.3,3.42,200.0,1000.0,902.0,RWD,5,SUV,68.0,1978.0,5,0,China,Luxury,229532.0,3.41,4.0,1499.2117493472583,3.825065274151436,505.5611729019212,0
Volkswagen,ID.5,2024,Long Range,51142.17,101.7,359.0,99.2,5.15,161.0,493.0,434.0,RWD,5,Coupe,26.9,1500.0,4,0,Germany,Mid-range,203079.0,3.64,5.0,502.8728613569321,3.5299901671583087,328.6666666666667,0
Volkswagen,ID. Aero,2026,Standard,59824.88,70.9,263.0,63.4,5.9,167.0,618.0,540.0,AWD,5,Sedan,34.8,1781.0,3,0,Germany,Mid-range,293709.0,3.28,5.0,843.792383638928,3.709449929478138,346.9960696238069,1
Ford,Mustang Mach-E,2025,Performance,96527.54,75.2,286.0,178.0,3.87,188.0,1000.0,924.0,FWD,7,Coupe,38.9,1500.0,3,1,US,Premium,67670.0,3.6,4.0,1283.610904255319,3.803191489361702,666.6666666666666,0
Tesla,Model X,2023,Standard,67772.81,53.3,175.0,320.5,7.79,128.0,501.0,445.0,FWD,5,Sedan,28.7,1539.0,5,2,US,Premium,207968.0,3.36,6.0,1271.5348968105066,3.283302063789869,325.5360623781676,1
