K,Silhouette,DBI,segment,scaler
2,0.1273433833254556,2.355283298437333,Budget,independent
3,0.12256379763006982,2.1681054257844194,Budget,independent
4,0.11742930533094253,2.0050094254313775,Budget,independent
5,0.14469250230584418,1.7179379280780835,Budget,independent
6,0.13829561195418588,1.7117758233528522,Budget,independent
2,0.1921153307580993,2.0396535059372902,Budget,global
3,0.11025793216277813,2.1935141866456553,Budget,global
4,0.10200571036952874,2.0499559570407535,Budget,global
5,0.12320710048169332,1.8896626833404742,Budget,global
6,0.10794542923117696,1.776207184053282,Budget,global
2,0.17561868812408474,2.0261808719691423,Luxury,independent
3,0.176086534196471,1.7838581554857953,Luxury,independent
4,0.16247660693228835,1.8014034803955596,Luxury,independent
5,0.13719591828688463,1.8987979412541431,Luxury,independent
6,0.13445231088601267,1.9683586645365523,Luxury,independent
2,0.19992166635227882,1.8240543701761995,Luxury,global
3,0.16105023463887672,1.9996835827719297,Luxury,global
4,0.14266860230969902,2.1871637017005274,Luxury,global
5,0.12700491509024192,2.172694546405549,Luxury,global
6,0.12648987601603248,2.0438749195601074,Luxury,global
2,0.15693521732553498,2.021090502600343,Mid-range,independent
3,0.14651031474598342,2.01467845908821,Mid-range,independent
4,0.13169730595599646,2.139170961840547,Mid-range,independent
5,0.12301975270090439,2.011955878110398,Mid-range,independent
6,0.1033683318440987,2.172473362556864,Mid-range,independent
2,0.16544005139185558,1.977719336716838,Mid-range,global
3,0.11842258272370329,2.411303574871295,Mid-range,global
4,0.12064727713945363,2.2300260650989614,Mid-range,global
5,0.11138866576496277,2.176783265883965,Mid-range,global
6,0.09770560816978285,2.3380026693707663,Mid-range,global
2,0.16391667540427757,2.0615460422940783,Premium,independent
3,0.154426028217987,1.9407881881471372,Premium,independent
4,0.12753272037282926,2.1304796670104005,Premium,independent
5,0.1351128293091453,2.0482711634387143,Premium,independent
6,0.12743733897148518,2.048706121374254,Premium,independent
2,0.15599529648360844,2.1312677929458266,Premium,global
3,0.1409914648098611,2.114033011565025,Premium,global
4,0.12668964125482501,2.092924927749798,Premium,global
5,0.1217534291634465,2.1692111652211876,Premium,global
6,0.12347853235886912,2.0299429345766145,Premium,global
