city,zone,count,mean,median,std,min,max,skew,kurtosis
Laayoune,zone1,88890,14.2614,12.7789,29.6821,0.0,1475.3333,25.4515,747.0866
Laayoune,zone2,88890,21.993,21.6155,10.7707,0.0,374.8333,11.6493,231.466
Laayoune,zone3,88890,29.9873,30.7366,8.0052,0.0,53.9976,-0.1984,-0.4949
Laayoune,zone4,88890,22.3793,22.8741,5.103,0.0,38.0065,-0.3831,0.7165
Laayoune,zone5,88890,23.6277,23.5748,6.5666,1.5865,43.923,-0.1534,-0.0713
Laayoune,zone6,88890,4.2922,4.4553,1.2515,0.3846,8.1571,-0.1777,-0.0691
Laayoune,zone7,88890,17.9864,16.2118,8.1357,0.0,42.9261,0.68,-0.1804
Boujdour,zone1,88890,15.6931,14.6057,25.8035,0.0,1513.1667,27.5607,870.9582
Boujdour,zone2,88890,5.1991,3.7407,5.1397,0.0,350.6667,24.9123,1097.4454
Boujdour,zone3,88890,9.199,8.6394,3.4115,0.0,44.8275,3.1561,22.3961
Boujdour,zone4,88890,14.8836,14.7694,5.9666,0.0,38.0065,0.1886,0.0473
Boujdour,zone5,88890,13.2577,12.8995,7.1262,0.3544,43.5147,0.5578,0.4298
Boujdour,zone6,88890,4.2924,4.4556,1.2515,0.3779,8.1567,-0.178,-0.0693
Boujdour,zone7,88890,17.9866,16.2109,8.1351,0.0,42.918,0.6793,-0.1827
Foum eloued,zone1,88890,13.7366,11.6925,26.002,0.0,1974.3333,42.4828,2340.3218
Foum eloued,zone2,88890,15.2018,12.3172,8.6823,0.0,319.4444,3.3183,62.1941
Foum eloued,zone3,88890,17.6248,16.3208,8.2187,0.0,42.3234,0.6086,-0.1938
Foum eloued,zone4,88890,7.3711,5.7579,4.3944,0.0,29.9599,1.2012,1.1222
Foum eloued,zone5,88890,2.8832,2.7486,1.2447,0.3336,35.8372,9.6019,164.793
Foum eloued,zone6,88890,4.2921,4.4549,1.2528,0.3766,8.1609,-0.1779,-0.0682
Foum eloued,zone7,88890,17.9851,16.2092,8.1474,0.0,42.9506,0.6791,-0.1788
Marrakech,zone1,52558,1195.1788,1174.6667,285.0097,3.4537,2047.0,0.1618,0.6329
Marrakech,zone2,52558,121.9282,31.0,145.0328,0.0,433.0,0.8019,-1.2042
Marrakech,zone3,52558,18.9702,18.4931,7.6266,0.0,53.5912,0.413,-0.1837
Marrakech,zone4,52558,15.1498,15.0075,6.0555,0.0,38.0065,0.2016,-0.0845
Marrakech,zone5,52558,13.2319,12.5678,7.2589,0.3753,43.613,0.5637,0.2355
Marrakech,zone6,52558,4.5331,4.6285,1.2882,0.3792,8.1553,-0.3071,0.391
Marrakech,zone7,52558,18.4144,16.9587,8.0656,0.0,42.9294,0.6079,-0.1904
