rank,name,source,likes,dislikes,like_ratio,tag_count
1,Subway Surfers,poki,17500000.0,3100000.0,0.8495,17
2,Murder,poki,6900000.0,1200000.0,0.8519,12
3,Stickman Hook,poki,6500000.0,1200000.0,0.8442,14
4,Moto X3M,poki,4300000.0,905900.0,0.826,10
5,Rocket Soccer Derby,poki,3400000.0,397500.0,0.8953,10
6,Monkey Mart,poki,3300000.0,397500.0,0.8925,18
7,Friday Night Funkin,poki,3100000.0,548700.0,0.8496,8
8,Escaping the Prison,poki,2900000.0,301000.0,0.906,10
9,Level Devil,poki,2900000.0,482800.0,0.8573,26
10,Drive Mad,poki,2800000.0,584800.0,0.8272,18
11,Penalty Shooters 2,poki,2700000.0,471500.0,0.8513,14
12,We Become What We Behold,poki,2600000.0,409900.0,0.8638,10
13,Combat Online,poki,2500000.0,591300.0,0.8087,11
14,Temple of Boom,poki,2400000.0,408000.0,0.8547,12
15,Fleeing the Complex,poki,2200000.0,159000.0,0.9326,12
16,Temple Run 2,poki,2200000.0,525900.0,0.8071,11
17,Brain Test: Tricky Puzzles,poki,2100000.0,480400.0,0.8138,12
18,City Car Driving: Stunt Master,poki,2100000.0,231900.0,0.9006,7
19,Venge.io,poki,2000000.0,303600.0,0.8682,11
20,Basketball Stars,poki,1900000.0,484400.0,0.7968,14
