排名,标签,出现次数
1,action,4278
2,other,4108
3,platformer,1635
4,adventure,1621
5,puzzle,1459
6,skill,1226
7,shooter,1101
8,simulation,814
9,point and click,547
10,strategy,527
11,mobile,445
12,gadgets,430
13,rpg,402
14,hop and bop,391
15,visual novel,370
16,fighting,366
17,spam,364
18,brain,363
19,mouse,340
20,sports,335
21,avoid,334
22,games for boys,300
23,multidirectional,268
24,3d,253
25,run and gun,252
26,arcade,249
27,idle incremental,238
28,platform,235
29,funny,221
30,fixed,209
31,racing,194
32,games for girls,189
33,cool,187
34,dress up,183
35,collect,176
36,animal,173
37,first person,161
38,vs,158
39,multiplayer,157
40,brawler,154
41,flash,151
42,2 player,147
43,car,141
44,management,136
45,physics,134
46,new,132
47,tower defense,130
48,logic,129
49,difficult,128
50,idle,124
51,shooting,112
52,retro,107
53,popular,105
54,soundboards,105
55,driving,104
56,vertical flight,101
57,quiz,99
58,ball,94
59,horizontal flight,92
60,rhythm,91
61,intelligence,89
62,cozy,89
63,nitrome,89
64,job,86
65,merge,84
66,easy,82
67,food,80
68,gun,76
69,sliding,72
70,pet buddy,71
71,crazy,70
72,block,69
73,classic,69
74,matching,69
75,tycoon,68
76,1v1,61
77,stickman,58
78,falling,58
79,board,56
80,tutorial,53
81,war,51
82,story,51
83,survival,49
84,html5,48
85,running,46
86,hidden object,46
87,soccer,45
88,color,44
89,escape,43
90,difference,43
91,restaurant,41
92,halloween,39
93,co-op,37
94,real,37
95,time rts,37
96,winter,36
97,clicker,36
98,zombie,36
99,io,36
100,cat,36
101,unity,35
102,drawing,35
103,dating,35
104,number,34
105,fashion,33
106,crafting,33
107,typing,33
108,cooking,32
109,olympics,31
110,parkour,31
111,scary,30
112,obby,29
113,bike,28
114,magic,28
115,farm,28
116,toss,28
117,truck,27
118,ragdoll,27
119,musical,27
120,brainrot,26
121,roblox,26
122,monster,26
123,card,24
124,educational,23
125,basketball,23
126,drifting,22
127,match 3,22
128,snake,21
129,mini,20
130,bubble shooter,20
131,christmas,20
132,first person shooter,20
133,minecraft,20
134,makeover,20
135,word,19
136,maze,19
137,solitaire,18
138,doctor,18
139,casino gambling,18
140,tube rail,18
141,golf,17
142,gta,17
143,dirt bike,17
144,decoration,17
145,mahjong,17
146,papa's,17
147,math,16
148,meme,16
149,space,16
150,construction,16
151,dinosaur,16
152,make up,16
153,slime,15
154,robot,15
155,sniper,15
156,football,14
157,watermelon,14
158,hospital,14
159,surgery,14
160,fish,14
161,ninja,13
162,tank,13
163,monster truck,13
164,police,12
165,parking,12
166,pizza,12
167,archery,11
168,penalty,11
169,construction set,11
170,boat,10
171,tractor,10
172,boxing,10
173,cake,10
174,airplane,10
175,love,10
176,anime,9
177,army,9
178,ice cream,9
179,dog,9
180,bicycle,9
181,jigsaw puzzle,9
182,wrestling,8
183,battle royale,8
184,hunting,8
185,princess,8
186,chess,7
187,horse,7
188,mini golf,6
189,pool,6
190,world cup,6
191,hair,6
192,easter,6
193,shopping,6
194,sudoku,6
195,hockey,5
196,henry stickmin,5
197,monkey,5
198,music,5
199,fishing,5
200,tennis,5
201,battleship,4
202,bowling,4
203,geography,4
204,skateboarding,4
205,artillery,4
206,dragon,3
207,cricket,3
208,flappy bird,3
209,train,3
210,superhero,3
211,baseball,2
212,bus,2
213,checkers,2
214,webcam,1
