排名,标签,出现次数
1,other,4108
2,action,3915
3,platformer,1635
4,adventure,1369
5,shooter,1101
6,puzzle,1087
7,skill,826
8,simulation,631
9,point and click,489
10,strategy,458
11,gadgets,430
12,hop and bop,391
13,visual novel,370
14,rpg,369
15,spam,364
16,avoid,334
17,fighting,312
18,multidirectional,268
19,run and gun,252
20,idle incremental,238
21,fixed,209
22,sports,182
23,collect,176
24,first person,161
25,vs,158
26,brawler,154
27,dress up,116
28,soundboards,105
29,vertical flight,101
30,tower defense,93
31,horizontal flight,92
32,rhythm,91
33,job,86
34,quiz,79
35,racing,73
36,sliding,72
37,pet buddy,71
38,falling,58
39,tutorial,53
40,difference,43
41,real,37
42,time rts,37
43,dating,35
44,toss,28
45,musical,27
46,typing,25
47,casino gambling,18
48,tube rail,18
49,construction set,11
50,soccer,11
51,golf,10
52,basketball,6
53,artillery,4
54,boxing,1
55,webcam,1
