排名,标签,出现次数
1,mobile,445
2,skill,400
3,puzzle,372
4,brain,363
5,action,363
6,mouse,340
7,games for boys,300
8,3d,253
9,adventure,252
10,arcade,249
11,platform,235
12,funny,221
13,games for girls,189
14,cool,187
15,simulation,183
16,animal,173
17,multiplayer,157
18,sports,153
19,flash,151
20,2 player,147
21,car,141
22,management,136
23,physics,134
24,new,132
25,logic,129
26,difficult,128
27,idle,124
28,racing,121
29,shooting,112
30,retro,107
31,popular,105
32,driving,104
33,ball,94
34,intelligence,89
35,cozy,89
36,nitrome,89
37,merge,84
38,easy,82
39,food,80
40,gun,76
41,crazy,70
42,block,69
43,classic,69
44,matching,69
45,strategy,69
46,tycoon,68
47,dress up,67
48,1v1,61
49,point and click,58
50,stickman,58
51,board,56
52,fighting,54
53,war,51
54,story,51
55,survival,49
56,html5,48
57,running,46
58,hidden object,46
59,color,44
60,escape,43
61,restaurant,41
62,halloween,39
63,tower defense,37
64,co-op,37
65,winter,36
66,clicker,36
67,zombie,36
68,io,36
69,cat,36
70,unity,35
71,drawing,35
72,number,34
73,soccer,34
74,fashion,33
75,rpg,33
76,crafting,33
77,cooking,32
78,olympics,31
79,parkour,31
80,scary,30
81,obby,29
82,bike,28
83,magic,28
84,farm,28
85,truck,27
86,ragdoll,27
87,brainrot,26
88,roblox,26
89,monster,26
90,card,24
91,educational,23
92,drifting,22
93,match 3,22
94,snake,21
95,mini,20
96,bubble shooter,20
97,christmas,20
98,first person shooter,20
99,minecraft,20
100,quiz,20
101,makeover,20
102,word,19
103,maze,19
104,solitaire,18
105,doctor,18
106,gta,17
107,dirt bike,17
108,basketball,17
109,decoration,17
110,mahjong,17
111,papa's,17
112,math,16
113,meme,16
114,space,16
115,construction,16
116,dinosaur,16
117,make up,16
118,slime,15
119,robot,15
120,sniper,15
121,football,14
122,watermelon,14
123,hospital,14
124,surgery,14
125,fish,14
126,ninja,13
127,tank,13
128,monster truck,13
129,police,12
130,parking,12
131,pizza,12
132,archery,11
133,penalty,11
134,boat,10
135,tractor,10
136,cake,10
137,airplane,10
138,love,10
139,anime,9
140,army,9
141,ice cream,9
142,dog,9
143,boxing,9
144,bicycle,9
145,jigsaw puzzle,9
146,wrestling,8
147,battle royale,8
148,hunting,8
149,princess,8
150,typing,8
151,golf,7
152,chess,7
153,horse,7
154,mini golf,6
155,pool,6
156,world cup,6
157,hair,6
158,easter,6
159,shopping,6
160,sudoku,6
161,hockey,5
162,henry stickmin,5
163,monkey,5
164,music,5
165,fishing,5
166,tennis,5
167,battleship,4
168,bowling,4
169,geography,4
170,skateboarding,4
171,dragon,3
172,cricket,3
173,flappy bird,3
174,train,3
175,superhero,3
176,baseball,2
177,bus,2
178,checkers,2
