cycle_index,start_time,end_time,cycle_duration,num_states
1,2016-04-20 10:35:12.937999964,2016-04-20 10:35:45.187000036,32.249,9
2,2016-04-20 10:35:39.089999914,2016-04-20 10:36:05.104000092,26.014,9
3,2016-04-20 10:36:02.665999889,2016-04-20 10:36:21.556999922,18.891,8
4,2016-04-20 10:36:19.592000008,2016-04-20 10:36:40.918999910,21.326999,8
5,2016-04-20 10:36:39.141000032,2016-04-20 10:36:57.792000055,18.651,9
6,2016-04-20 10:36:55.453999996,2016-04-20 10:37:16.276000023,20.822,8
7,2016-04-20 10:37:15.249000072,2016-04-20 10:37:32.592999935,17.343999,8
8,2016-04-20 10:37:30.806999922,2016-04-20 10:37:50.075999975,19.269,9
9,2016-04-20 10:37:48.624000072,2016-04-20 10:38:08.686000109,20.062,8
10,2016-04-20 10:38:07.655999899,2016-04-20 10:38:24.855999947,17.2,8
11,2016-04-20 10:38:23.217000008,2016-04-20 10:38:45.010999918,21.793999,9
12,2016-04-20 10:38:42.345999956,2016-04-20 10:39:02.124000072,19.778,8
13,2016-04-20 10:38:59.542999983,2016-04-20 10:39:20.967000008,21.424,9
14,2016-04-20 10:39:19.651999950,2016-04-20 10:39:21.479000092,1.827,2
15,2016-04-20 10:39:21.016999960,2016-04-20 10:39:37.838999987,16.822,9
16,2016-04-20 10:39:36.058000088,2016-04-20 10:39:56.026000023,19.967999,8
17,2016-04-20 10:39:53.782999992,2016-04-20 10:40:15.438999891,21.655999,8
18,2016-04-20 10:40:13.605000019,2016-04-20 10:40:31.232000113,17.627,9
19,2016-04-20 10:40:29.918999910,2016-04-20 10:40:49.747999907,19.828999,8
20,2016-04-20 10:40:48.766000032,2016-04-20 10:41:06.905999899,18.139999,9
21,2016-04-20 10:41:04.230999947,2016-04-20 10:41:26.542000055,22.311,9
22,2016-04-20 10:41:24.437999964,2016-04-20 10:41:42.479000092,18.041,8
23,2016-04-20 10:41:41.026000023,2016-04-20 10:41:59.588999987,18.562999,8
24,2016-04-20 10:41:58.513000011,2016-04-20 10:42:17.730999947,19.217999,8
25,2016-04-20 10:42:17.075999975,2016-04-20 10:42:34.275000095,17.199,8
26,2016-04-20 10:42:32.267999887,2016-04-20 10:42:52.187000036,19.919,8
27,2016-04-20 10:42:51.809999943,2016-04-20 10:43:08.026000023,16.216,9
28,2016-04-20 10:43:06.759999990,2016-04-20 10:43:25.651000023,18.891,9
29,2016-04-20 10:43:25.561000109,2016-04-20 10:43:41.124000072,15.562999,8
30,2016-04-20 10:43:40.229000092,2016-04-20 10:43:59.355000019,19.125999,9
31,2016-04-20 10:43:57.151000023,2016-04-20 10:44:18.438999891,21.287999,9
32,2016-04-20 10:44:16.980000019,2016-04-20 10:44:34.746000051,17.766,9
33,2016-04-20 10:44:33.105999947,2016-04-20 10:44:54.105000019,20.999,9
34,2016-04-20 10:44:52.372999907,2016-04-20 10:45:10.276000023,17.903,9
35,2016-04-20 10:45:08.690000057,2016-04-20 10:45:29.121999979,20.431999,9
36,2016-04-20 10:45:27.852999926,2016-04-20 10:45:44.966000080,17.113,9
37,2016-04-20 10:45:43.747999907,2016-04-20 10:46:02.591000080,18.843,8
38,2016-04-20 10:46:00.993999958,2016-04-20 10:46:21.529999970,20.536,8
39,2016-04-20 10:46:20.167999983,2016-04-20 10:46:36.625000000,16.457,8
40,2016-04-20 10:46:36.059000015,2016-04-20 10:46:58.605000019,22.546,8
41,2016-04-20 10:46:54.249000072,2016-04-20 10:47:17.917000055,23.667999000000002,8
42,2016-04-20 10:47:13.137000084,2016-04-20 10:47:35.730999947,22.593999,9
43,2016-04-20 10:47:35.497999907,2016-04-20 10:47:53.354000092,17.856,9
